title,image,description
Участник дорожного конфликта зачем-то расстегнул штаны перед оппонентом,https://content.onliner.by/news/970x485/428032c7ee1e3d49615f83c84bf82184.jpeg,"Бывает, что участники дорожного движения повздорят. Случается даже, что, как следствие, совершат несколько рискованных маневров, покажут друг другу оскорбительные жесты. Сегодня водитель Audi, напр..."
"«Телефон выронил, но не покупатель „омывайки“...» Новые обстоятельства от свидетеля ДТП",https://content.onliner.by/news/1400x5616/dafaa5c7ccb5140a8e19ba62db185f92.jpeg,"Стечение целого ряда обстоятельств привело к трагическому происшествию на Смиловичском тракте в Минске (выезд на могилевскую трассу). В комментариях всплыла информация, якобы у покупателя стеклоомы..."
"Итальянец не знал, какие могут быть тарифы у минских таксистов, и заплатил 120 рублей",https://content.onliner.by/news/970x485/2f89d3bdd1efc3465dda87c4d3aa7bf4.jpeg,"Наша читательница Надежда рассказала, что недавно в Минск из Италии прилетал ее знакомый. В аэропорту к иностранцу подошел приятного вида человек и предложил услуги такси. Итальянец согласился. Едв..."
"Водитель каршеринговой машины, разбивший 10 авто, будет полностью возмещать ущерб. Ему навсегда закрыт доступ к сервису",https://content.onliner.by/news/970x485/8d1311116fdbb3996c969a7251db1c07.jpeg,"Как сообщалось, минувшей ночью в Минске нетрезвый водитель, воспользовавшись каршеринговым Volkswagen сервиса Anytime, дважды попал в ДТП, а также пытался скрыться от сотрудников Госавтоинспекции. ..."
В Минске пьяный водитель на каршеринговом Volkswagen разбил за ночь 10 авто,https://content.onliner.by/news/970x485/e79c584d1474debd25d21e6911ce3b34.jpeg,"Сразу от нескольких читателей Onliner мы узнали об аварии, которая случилась минувшей ночью на улице Космонавтов в Минске. Проезжавший автомобиль на скорости врезался в припаркованные у края проезж..."
В Африке из-за «черной пятницы» магазины уже трещат по швам от покупателей,https://content.onliner.by/news/970x485/b74738d795212c3bc56dff6a25256bc8.jpeg,"Великий праздник любого шопоголика — «черная пятница» — шагает по планете. Где-то тихо и незаметно для мирового сообщества, а где-то умудряется греметь по всем соцсетям. Пока в США спят, пальму пер..."
США просит союзников отказаться от оборудования Huawei,https://content.onliner.by/news/970x485/2370896194e2d66d5bf3feb9ab446ccb.jpeg,"Американские чиновники пытаются убедить своих союзников отказаться от использования китайского оборудования Huawei в телекоммуникационной отрасли, сообщает Wall Street Journal. Переговоры ведутся с..."
Красивый и ну очень мощный: видеообзор нового iPad Pro с производительностью уровня Xbox One S,https://content.onliner.by/news/970x485/8d1d71c4d480ff126e9f479f123b70d4.jpeg," В этом году Apple выкатила совершенно новые iPad Pro. У модели побольше диагональ экрана осталась прежней (12,9 дюйма), а версия поменьше подросла с 10,5 до 11 дюймов при прежних габаритах — все б..."
Wylsacom за год потратил на лутбоксы в FIFA больше $15 000,https://content.onliner.by/news/970x485/e452c2303553b0b2e196a7d3ead51507.jpeg,"Популярный «яблочный» блогер Валентин Wylsacom Петухов пришел в гости к подкасту sports.ru, где среди прочего рассказал о своем увлечении футбольным симулятором FIFA 18. В нем есть режим Ultimate T..."
Биткоин упал до отметки ниже $3900,https://content.onliner.by/news/970x485/5fae0666be915c0cb7f32a7d00c7adc6.jpeg,"Это что же творится! Всего за пять дней биткоин просел настолько, что за него стали давать менее $5000. Казалось, что на этом темп падения должен замедлиться, но не тут-то было. Очередной виток — и..."
Кусочек «корветного» детства и первая игра в 30 лет. Ностальгируем по PC-играм,https://content.onliner.by/news/1400x5616/67bbbd761df52826720d77996fb8690d.jpeg,"В комментариях к предыдущей работе некоторые читатели справедливо отметили, что конкурс-то о ностальгии по компьютерным играм, а не аркадным. Нам материал Дмитрия об аркадных автоматах Минска очень..."
Комаровка днем и ночью: вкусный фоторепортаж о жизни главного продуктового рынка страны,https://content.onliner.by/news/1400x5616/7c6ba551f64f37f1780917d5d8a65637.jpeg,"Давным-давно, в начале XX века место ныне главного продуктового рынка Беларуси занимала угрюмая болотистая местность под говорящим названием Комаровка. Округ считался пропащим: комары, неприятные з..."
В Беларуси хотят продать секретный бункер времен холодной войны всего за $100 000,https://content.onliner.by/news/1400x5616/70ad0f9edffd7378bf69095b68e7327a.jpeg,"На окраине Беловежской пущи находится один из сверхсекретных объектов времен холодной войны, расположенных на территории Беларуси. Под невзрачным замшелым сараем, стоящим на небольшом холме, скрыва..."
"«Сделал самовольную перепланировку, но соседи настучали в ЖЭС». А как бы поступили вы?",https://content.onliner.by/news/970x485/428f30fb4a8646a6a25d9ed2fab42eee.jpeg,"Создать квартиру с идеальной планировкой, пожалуй, невозможно: одни и те же метры разные семьи захотят распределить по-своему. Что уже говорить, если жилье находится в типовом панельном доме — тут ..."
«Всех до единого в следственный изолятор». Лукашенко рассказал о вопиющем случае со скупкой и перепродажей квартир в Минске,https://content.onliner.by/news/970x485/adc8d29b5ceac3cd63dabeca946143f9.jpeg,"Президент Беларуси Александр Лукашенко сегодня на семинаре-совещании о повышении эффективности строительного комплекса рассказал о вопиющем случае в Минске со скупкой и перепродажей квартир, переда..."
В Беларуси прорабатывается вопрос по снижению тарифов для отопления жилья,https://content.onliner.by/news/970x485/fb13d0170503dc575a882fa593343e01.jpeg,"В Беларуси прорабатывается вопрос по снижению тарифов для отопления жилья, в том числе и в ночное время. Об этом сегодня в интервью телеканалу СТВ сообщил заместитель премьер-министра Владимир Куха..."
"Пожар в общежитии: 30 человек успели выйти на улицу сами, четверых эвакуировали спасатели",https://content.onliner.by/news/970x485/7f8a7c1eb4edab3d1e0327c39ac0d63e.jpeg,"Вчера около полудня в МЧС поступило сообщение о пожаре в общежитии в Жабинке. На место прибыли подразделения спасателей. К этому моменту 30 человек сами покинули здание, но несколько человек еще бы..."
СПЕЦПРОЕКТ,https://content.onliner.by/news/1400x5616/574431c5f2464ff186ff4e59a5b4153e.jpeg,"Onliner и Huawei приглашают принять участие в конкурсе мобильной фотографии, призом в котором станет топовый камерофон Huawei P20 Pro, у победителя также появится возможность разместить свою работу..."
